Feature,Drop,SD
Stroke,0.0010221206020256223,6.236802847685763e-05
NoDocbcCost,0.001105085961898422,1.4455750208663996e-05
AnyHealthcare,0.0015444948507697509,0.00016856642726120497
PhysActivity,0.0018268254844532096,8.806254043627643e-05
Fruits,0.0018664091151502805,7.593242202208739e-05
DiffWalk,0.002027608582911511,0.00014573620316465772
HeartDiseaseorAttack,0.0020803576051025897,0.0002846736972848842
Veggies,0.0022120365075328106,5.7990935235613425e-05
Smoker,0.0026278860707111386,0.00019571147124892234
Education,0.0049815490866035985,0.00018847549716042748
HvyAlcoholConsump,0.00536207667858486,0.0003420247973874581
Sex,0.005883695701984904,0.0004685360525477619
MentHlth,0.00611491959471615,0.00023678753351702355
PhysHlth,0.006873698762995484,0.00021165733849771147
CholCheck,0.007228920489897317,0.0005192391826222691
Income,0.009010904631104233,0.00028782478681230254
HighChol,0.016015068249171448,0.00021474916640838252
HighBP,0.01621028387636838,0.0004917643609192865
Age,0.04478876181261508,0.0009052037218794533
BMI,0.0499497361560161,0.0010284090804281731
GenHlth,0.05495999112961334,0.0011749557318286687
